Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time,Comment
2015-08-22,Jerk,Legs,50.0,5,,,,""
2015-08-22,Jerk,Legs,54.0,5,,,,""
2015-08-22,Jerk,Legs,60.0,4,,,,""
2015-08-22,Jerk,Legs,60.0,4,,,,""
2015-08-22,Jerk,Legs,64.0,4,,,,""
2015-08-22,Push Press,Shoulders,50.0,5,,,,""
2015-08-22,Push Press,Shoulders,50.0,5,,,,""
2015-08-22,Push Press,Shoulders,54.0,5,,,,""
2015-08-22,Overhead Squat Ohs,Legs,50.0,3,,,,""
2015-08-22,Overhead Squat Ohs,Legs,50.0,3,,,,""
2015-08-22,Overhead Squat Ohs,Legs,50.0,3,,,,""
2015-09-08,Snatch,Legs,40.0,5,,,,""
2015-09-08,Snatch,Legs,40.0,5,,,,""
2015-09-08,Snatch,Legs,50.0,4,,,,""
2015-09-08,Snatch,Legs,60.0,2,,,,""
2015-09-08,Snatch Pull,Legs,90.0,3,,,,""
2015-09-08,Snatch Pull,Legs,90.0,3,,,,""
2015-09-08,Snatch Pull,Legs,90.0,4,,,,""
2015-09-08,Front Squat,Legs,60.0,5,,,,""
2015-09-08,Front Squat,Legs,60.0,5,,,,""
2015-09-08,Front Squat,Legs,64.0,5,,,,""
2015-09-08,Front Squat,Legs,64.0,5,,,,""
2015-09-08,Front Squat,Legs,64.0,5,,,,""
2015-10-02,Front Squat,Legs,70.0,5,,,,""
2015-10-02,Front Squat,Legs,70.0,5,,,,""
2015-10-02,Front Squat,Legs,70.0,5,,,,""
2015-10-02,Front Squat,Legs,70.0,5,,,,""
2015-10-02,Front Squat,Legs,70.0,5,,,,""
2015-10-03,Snatch Pull,Legs,70.0,5,,,,""
2015-10-03,Snatch Pull,Legs,70.0,5,,,,""
2015-10-03,Snatch Pull,Legs,70.0,5,,,,""
2015-10-03,Snatch Pull,Legs,70.0,5,,,,""
2015-10-03,Snatch Pull,Legs,70.0,5,,,,""
2015-10-06,Clean And Jerk Cnj,Legs,70.0,3,,,,""
2015-10-06,Clean And Jerk Cnj,Legs,70.0,1,,,,""
2015-10-06,Clean And Jerk Cnj,Legs,70.0,3,,,,""
2015-10-06,Clean And Jerk Cnj,Legs,70.0,3,,,,""
2015-10-06,Clean Pull,Legs,100.0,3,,,,""
2015-10-06,Clean Pull,Legs,100.0,3,,,,""
2015-10-06,Clean Pull,Legs,100.0,3,,,,""
2015-10-06,Back Squat,Legs,70.0,3,,,,""
2015-10-06,Back Squat,Legs,70.0,5,,,,""
2015-10-06,Back Squat,Legs,70.0,5,,,,""
2015-10-09,Jerk,Legs,60.0,5,,,,""
2015-10-09,Jerk,Legs,60.0,5,,,,""
2015-10-09,Jerk,Legs,64.0,4,,,,""
2015-10-09,Jerk,Legs,64.0,4,,,,""
2015-10-09,Jerk,Legs,64.0,4,,,,""
2015-10-09,Push Press,Shoulders,50.0,5,,,,""
2015-10-09,Push Press,Shoulders,54.0,3,,,,""
2015-10-09,Push Press,Shoulders,54.0,3,,,,""
2015-10-09,Push Press,Shoulders,60.0,1,,,,""
2015-10-09,Push Press,Shoulders,60.0,3,,,,""
2015-10-09,Overhead Squat Ohs,Legs,40.0,1,,,,""
2015-10-09,Overhead Squat Ohs,Legs,40.0,3,,,,""
2015-10-09,Overhead Squat Ohs,Legs,40.0,5,,,,""
2015-10-09,Overhead Squat Ohs,Legs,40.0,5,,,,""
2015-10-09,Overhead Squat Ohs,Legs,40.0,5,,,,""
2015-10-10,Clean And Jerk Cnj,Legs,70.0,2,,,,""
2015-10-10,Clean And Jerk Cnj,Legs,70.0,3,,,,""
2015-10-10,Clean And Jerk Cnj,Legs,74.0,2,,,,""
2015-10-10,Clean Pull,Legs,110.0,3,,,,""
2015-10-10,Clean Pull,Legs,110.0,3,,,,""
2015-10-10,Clean Pull,Legs,110.0,3,,,,""
2015-10-10,Back Squat,Legs,70.0,4,,,,""
2015-10-10,Back Squat,Legs,80.0,3,,,,""
2015-10-10,Back Squat,Legs,84.0,3,,,,""
2015-10-10,Back Squat,Legs,84.0,3,,,,""
2015-10-13,Snatch,Legs,50.0,3,,,,""
2015-10-13,Snatch,Legs,50.0,4,,,,""
2015-10-13,Snatch,Legs,54.0,3,,,,""
2015-10-13,Snatch,Legs,60.0,2,,,,""
2015-10-13,Snatch,Legs,60.0,1,,,,""
2015-10-13,Snatch Pull,Legs,100.0,3,,,,""
2015-10-13,Snatch Pull,Legs,100.0,3,,,,""
2015-10-13,Snatch Pull,Legs,100.0,3,,,,""
2015-10-13,Snatch Pull,Legs,100.0,3,,,,""
2015-10-13,Snatch Pull,Legs,100.0,4,,,,""
2015-10-13,Front Squat,Legs,70.0,3,,,,""
2015-10-13,Front Squat,Legs,80.0,3,,,,""
2015-10-13,Front Squat,Legs,80.0,3,,,,""
2015-10-13,Front Squat,Legs,80.0,3,,,,""
2015-10-13,Front Squat,Legs,80.0,3,,,,""
2015-10-13,Front Squat,Legs,80.0,4,,,,""
2015-10-15,Jerk,Legs,60.0,4,,,,""
2015-10-15,Jerk,Legs,64.0,3,,,,""
2015-10-15,Jerk,Legs,70.0,3,,,,""
2015-10-15,Jerk,Legs,70.0,3,,,,""
2015-10-15,Jerk,Legs,70.0,4,,,,""
2015-10-15,Push Press,Shoulders,60.0,3,,,,""
2015-10-15,Push Press,Shoulders,60.0,3,,,,""
2015-10-15,Push Press,Shoulders,60.0,3,,,,""
2015-10-15,Push Press,Shoulders,60.0,3,,,,""
2015-10-15,Push Press,Shoulders,60.0,3,,,,""
2015-10-15,Overhead Squat Ohs,Legs,50.0,3,,,,""
2015-10-15,Overhead Squat Ohs,Legs,50.0,3,,,,""
2015-10-15,Overhead Squat Ohs,Legs,50.0,3,,,,""
2015-10-15,Overhead Squat Ohs,Legs,50.0,3,,,,""
2015-10-15,Overhead Squat Ohs,Legs,50.0,4,,,,""
2015-10-17,Clean And Jerk Cnj,Legs,70.0,3,,,,""
2015-10-17,Clean And Jerk Cnj,Legs,70.0,3,,,,""
2015-10-17,Clean And Jerk Cnj,Legs,70.0,3,,,,""
2015-10-17,Clean And Jerk Cnj,Legs,70.0,3,,,,""
2015-10-17,Clean And Jerk Cnj,Legs,75.0,3,,,,""
2015-10-17,Clean Pull,Legs,110.0,3,,,,""
2015-10-17,Clean Pull,Legs,110.0,3,,,,""
2015-10-17,Clean Pull,Legs,110.0,3,,,,""
2015-10-17,Clean Pull,Legs,110.0,3,,,,""
2015-10-17,Clean Pull,Legs,120.0,3,,,,""
2015-10-17,Back Squat,Legs,80.0,3,,,,""
2015-10-17,Back Squat,Legs,84.0,3,,,,""
2015-10-17,Back Squat,Legs,84.0,3,,,,""
2015-10-17,Back Squat,Legs,90.0,3,,,,""
2015-10-17,Back Squat,Legs,90.0,3,,,,""
2015-10-17,Back Squat,Legs,90.0,3,,,,""
2015-10-17,Tommys,Abs,10.0,10,,,,""
2015-10-17,Tommys,Abs,10.0,10,,,,""
2015-10-17,Tommys,Abs,10.0,10,,,,""
2015-10-20,Snatch,Legs,60.0,1,,,,""
2015-10-20,Snatch,Legs,60.0,1,,,,""
2015-10-20,Snatch,Legs,55.0,2,,,,""
2015-10-20,Snatch,Legs,55.0,2,,,,""
2015-10-20,Snatch,Legs,55.0,2,,,,""
2015-10-20,Snatch Pull,Legs,100.0,3,,,,""
2015-10-20,Snatch Pull,Legs,110.0,2,,,,""
2015-10-20,Snatch Pull,Legs,110.0,2,,,,""
2015-10-20,Snatch Pull,Legs,110.0,2,,,,""
2015-10-20,Front Squat,Legs,80.0,3,,,,""
2015-10-20,Front Squat,Legs,85.0,2,,,,""
2015-10-20,Front Squat,Legs,85.0,2,,,,""
2015-10-20,Front Squat,Legs,85.0,2,,,,""
2015-10-20,Front Squat,Legs,85.0,3,,,,""
2015-10-20,Hanging Leg Raise,Abs,1.0,5,,,,""
2015-10-20,Hanging Leg Raise,Abs,1.0,10,,,,""
2015-10-20,Hanging Leg Raise,Abs,1.0,10,,,,""
2015-10-20,Hanging Leg Raise,Abs,1.0,10,,,,""
2015-10-22,Jerk,Legs,70.0,2,,,,""
2015-10-22,Jerk,Legs,76.0,2,,,,""
2015-10-22,Push Press,Shoulders,60.0,2,,,,""
2015-10-22,Jerk,Legs,76.0,2,,,,""
2015-10-22,Jerk,Legs,76.0,2,,,,""
2015-10-22,Jerk,Legs,76.0,2,,,,""
2015-10-22,Push Press,Shoulders,66.0,2,,,,""
2015-10-22,Push Press,Shoulders,66.0,2,,,,""
2015-10-22,Push Press,Shoulders,66.0,2,,,,""
2015-10-22,Push Press,Shoulders,66.0,2,,,,""
2015-10-22,Overhead Squat Ohs,Legs,50.0,2,,,,""
2015-10-22,Overhead Squat Ohs,Legs,54.0,2,,,,""
2015-10-22,Overhead Squat Ohs,Legs,54.0,2,,,,""
2015-10-22,Overhead Squat Ohs,Legs,54.0,2,,,,""
2015-10-22,Overhead Squat Ohs,Legs,54.0,3,,,,""
2015-10-22,Hanging Leg Raise,Abs,1.0,10,,,,""
2015-10-22,Hanging Leg Raise,Abs,1.0,10,,,,""
2015-10-22,Hanging Leg Raise,Abs,1.0,10,,,,""
2015-10-24,Clean And Jerk Cnj,Legs,70.0,2,,,,""
2015-10-24,Clean And Jerk Cnj,Legs,74.0,2,,,,""
2015-10-24,Clean And Jerk Cnj,Legs,74.0,2,,,,""
2015-10-24,Clean And Jerk Cnj,Legs,76.0,1,,,,""
2015-10-24,Clean And Jerk Cnj,Legs,76.0,2,,,,""
2015-10-24,Clean Pull,Legs,110.0,3,,,,""
2015-10-24,Clean Pull,Legs,110.0,3,,,,""
2015-10-24,Clean Pull,Legs,110.0,3,,,,""
2015-10-24,Clean Pull,Legs,110.0,3,,,,""
2015-10-24,Clean Pull,Legs,110.0,3,,,,""
2015-10-24,Back Squat,Legs,80.0,5,,,,""
2015-10-24,Back Squat,Legs,90.0,3,,,,""
2015-10-24,Back Squat,Legs,100.0,1,,,,""
2015-10-24,Back Squat,Legs,100.0,2,,,,""
2015-10-24,Back Squat,Legs,100.0,2,,,,""
2015-10-24,Back Squat,Legs,100.0,2,,,,""
2015-10-27,Snatch,Legs,50.0,2,,,,""
2015-10-27,Snatch,Legs,52.0,1,,,,""
2015-10-27,Snatch,Legs,54.0,1,,,,""
2015-10-27,Snatch,Legs,56.0,1,,,,""
2015-10-27,Snatch,Legs,58.0,1,,,,""
2015-10-27,Snatch,Legs,60.0,1,,,,""
2015-10-27,Snatch,Legs,62.0,1,,,,""
2015-10-27,Snatch,Legs,64.0,1,,,,""
2015-10-27,Snatch Pull,Legs,90.0,2,,,,""
2015-10-27,Snatch Pull,Legs,100.0,1,,,,""
2015-10-27,Snatch Pull,Legs,110.0,1,,,,""
2015-10-27,Snatch Pull,Legs,114.0,1,,,,""
2015-10-27,Snatch Pull,Legs,114.0,1,,,,""
2015-10-27,Front Squat,Legs,76.0,2,,,,""
2015-10-27,Front Squat,Legs,80.0,1,,,,""
2015-10-27,Front Squat,Legs,84.0,1,,,,""
2015-10-27,Front Squat,Legs,88.0,1,,,,""
2015-10-27,Front Squat,Legs,90.0,1,,,,""
2015-10-27,Hanging Leg Raise,Abs,1.0,10,,,,""
2015-10-27,Hanging Leg Raise,Abs,2.0,5,,,,""
2015-10-27,Hanging Leg Raise,Abs,5.0,5,,,,""
2015-10-30,Jerk,Legs,60.0,2,,,,""
2015-10-30,Jerk,Legs,64.0,2,,,,""
2015-10-30,Jerk,Legs,70.0,1,,,,""
2015-10-30,Jerk,Legs,74.0,1,,,,""
2015-10-30,Jerk,Legs,76.0,1,,,,""
2015-10-30,Jerk,Legs,78.0,1,,,,""
2015-10-30,Jerk,Legs,80.0,1,,,,""
2015-10-30,Jerk,Legs,82.0,1,,,,""
2015-10-30,Jerk,Legs,84.0,1,,,,""
2015-10-30,Jerk,Legs,86.0,1,,,,""
2015-10-30,Jerk,Legs,88.0,1,,,,""
2015-10-30,Jerk,Legs,90.0,1,,,,""
2015-10-30,Jerk,Legs,92.0,1,,,,""
2015-10-30,Push Press,Shoulders,60.0,1,,,,""
2015-10-30,Push Press,Shoulders,62.0,1,,,,""
2015-10-30,Push Press,Shoulders,64.0,1,,,,""
2015-10-30,Push Press,Shoulders,66.0,1,,,,""
2015-10-30,Push Press,Shoulders,68.0,1,,,,""
2015-10-30,Push Press,Shoulders,68.0,1,,,,""
2015-10-30,Overhead Squat Ohs,Legs,50.0,1,,,,""
2015-10-30,Overhead Squat Ohs,Legs,52.0,1,,,,""
2015-10-30,Overhead Squat Ohs,Legs,54.0,1,,,,""
2015-10-30,Overhead Squat Ohs,Legs,56.0,1,,,,""
2015-10-30,Overhead Squat Ohs,Legs,58.0,1,,,,""
2015-10-30,Overhead Squat Ohs,Legs,60.0,1,,,,""
2015-10-30,Overhead Squat Ohs,Legs,62.0,1,,,,""
2015-10-30,Overhead Squat Ohs,Legs,64.0,1,,,,""
2015-10-30,Overhead Squat Ohs,Legs,64.0,1,,,,""
2015-10-31,Clean And Jerk Cnj,Legs,60.0,1,,,,""
2015-10-31,Clean And Jerk Cnj,Legs,64.0,1,,,,""
2015-10-31,Clean And Jerk Cnj,Legs,66.0,1,,,,""
2015-10-31,Clean And Jerk Cnj,Legs,68.0,1,,,,""
2015-10-31,Clean And Jerk Cnj,Legs,70.0,1,,,,""
2015-10-31,Clean And Jerk Cnj,Legs,72.0,1,,,,""
2015-10-31,Clean And Jerk Cnj,Legs,74.0,1,,,,""
2015-10-31,Clean And Jerk Cnj,Legs,76.0,1,,,,""
2015-10-31,Clean And Jerk Cnj,Legs,78.0,1,,,,""
2015-10-31,Clean And Jerk Cnj,Legs,80.0,1,,,,""
2015-10-31,Clean And Jerk Cnj,Legs,82.0,1,,,,""
2015-10-31,Clean And Jerk Cnj,Legs,84.0,1,,,,""
2015-10-31,Clean And Jerk Cnj,Legs,86.0,1,,,,""
2015-10-31,Clean And Jerk Cnj,Legs,60.0,1,,,,""
2015-10-31,Clean Pull,Legs,100.0,1,,,,""
2015-10-31,Clean Pull,Legs,104.0,1,,,,""
2015-10-31,Clean Pull,Legs,110.0,1,,,,""
2015-10-31,Clean Pull,Legs,114.0,1,,,,""
2015-10-31,Clean Pull,Legs,120.0,1,,,,""
2015-10-31,Clean Pull,Legs,124.0,1,,,,""
2015-10-31,Back Squat,Legs,60.0,1,,,,""
2015-10-31,Back Squat,Legs,80.0,1,,,,""
2015-10-31,Back Squat,Legs,90.0,1,,,,""
2015-10-31,Back Squat,Legs,96.0,1,,,,""
2015-10-31,Back Squat,Legs,100.0,1,,,,""
2015-11-04,Snatch,Legs,50.0,2,,,,""
2015-11-04,Snatch,Legs,54.0,2,,,,""
2015-11-04,Snatch,Legs,58.0,2,,,,""
2015-11-04,Snatch,Legs,60.0,1,,,,""
2015-11-04,Snatch,Legs,60.0,2,,,,""
2015-11-04,Snatch,Legs,60.0,3,,,,""
2015-11-04,Front Squat,Legs,70.0,3,,,,""
2015-11-04,Front Squat,Legs,80.0,3,,,,""
2015-11-04,Front Squat,Legs,90.0,3,,,,""
2015-11-04,Front Squat,Legs,90.0,2,,,,""
2015-11-04,Front Squat,Legs,90.0,3,,,,""
2015-11-04,Hanging Leg Raise,Abs,1.0,10,,,,""
2015-11-04,Hanging Leg Raise,Abs,1.0,10,,,,""
2015-11-04,Hanging Leg Raise,Abs,1.0,10,,,,""
2015-11-06,Clean And Jerk Cnj,Legs,70.0,1,,,,""
2015-11-06,Clean And Jerk Cnj,Legs,70.0,2,,,,""
2015-11-06,Clean And Jerk Cnj,Legs,74.0,2,,,,""
2015-11-06,Clean And Jerk Cnj,Legs,74.0,3,,,,""
2015-11-06,Clean And Jerk Cnj,Legs,76.0,1,,,,""
2015-11-06,Clean And Jerk Cnj,Legs,76.0,1,,,,""
2015-11-06,Clean And Jerk Cnj,Legs,76.0,2,,,,""
2015-11-06,Clean And Jerk Cnj,Legs,76.0,3,,,,""
2015-11-06,Back Squat,Legs,60.0,5,,,,""
2015-11-06,Back Squat,Legs,90.0,4,,,,""
2015-11-06,Back Squat,Legs,90.0,5,,,,""
2015-11-06,Back Squat,Legs,90.0,5,,,,""
2015-11-06,Ab Twister,Abs,1.0,10,,,,""
2015-11-06,Ab Twister,Abs,5.0,10,,,,""
2015-11-06,Ab Twister,Abs,5.0,10,,,,""
2015-11-10,Snatch,Legs,50.0,2,,,,""
2015-11-10,Snatch,Legs,50.0,2,,,,""
2015-11-10,Snatch,Legs,54.0,3,,,,""
2015-11-10,Snatch,Legs,58.0,1,,,,""
2015-11-10,Snatch,Legs,58.0,3,,,,""
2015-11-10,Snatch,Legs,60.0,3,,,,""
2015-11-10,Snatch,Legs,60.0,3,,,,""
2015-11-10,Snatch,Legs,60.0,3,,,,""
2015-11-10,Snatch,Legs,60.0,3,,,,""
2015-11-10,Snatch Pull,Legs,110.0,3,,,,""
2015-11-10,Snatch Pull,Legs,110.0,3,,,,""
2015-11-10,Snatch Pull,Legs,110.0,3,,,,""
2015-11-10,Snatch Pull,Legs,110.0,3,,,,""
2015-11-10,Front Squat,Legs,80.0,3,,,,""
2015-11-10,Front Squat,Legs,90.0,1,,,,""
2015-11-10,Front Squat,Legs,90.0,1,,,,""
2015-11-10,Front Squat,Legs,84.0,2,,,,""
2015-11-10,Front Squat,Legs,84.0,2,,,,""
2015-11-10,Hanging Leg Raise,Abs,1.0,10,,,,""
2015-11-10,Hanging Leg Raise,Abs,1.0,10,,,,""
2015-11-10,Hanging Leg Raise,Abs,1.0,11,,,,""
2015-11-12,Jerk,Legs,60.0,3,,,,""
2015-11-12,Jerk,Legs,70.0,3,,,,""
2015-11-12,Jerk,Legs,80.0,3,,,,""
2015-11-12,Jerk,Legs,80.0,3,,,,""
2015-11-12,Jerk,Legs,84.0,3,,,,""
2015-11-12,Jerk,Legs,84.0,2,,,,""
2015-11-12,Jerk,Legs,84.0,2,,,,""
2015-11-12,Push Press,Shoulders,60.0,3,,,,""
2015-11-12,Push Press,Shoulders,64.0,3,,,,""
2015-11-12,Push Press,Shoulders,66.0,3,,,,""
2015-11-12,Push Press,Shoulders,66.0,2,,,,""
2015-11-12,Push Press,Shoulders,66.0,2,,,,""
2015-11-12,Push Press,Shoulders,66.0,2,,,,""
2015-11-12,Push Press,Shoulders,66.0,2,,,,""
2015-11-12,Overhead Squat Ohs,Legs,50.0,2,,,,""
2015-11-12,Overhead Squat Ohs,Legs,54.0,3,,,,""
2015-11-12,Overhead Squat Ohs,Legs,56.0,3,,,,""
2015-11-12,Overhead Squat Ohs,Legs,58.0,3,,,,""
2015-11-12,Overhead Squat Ohs,Legs,60.0,3,,,,""
2015-11-12,Overhead Squat Ohs,Legs,60.0,3,,,,""
2015-11-12,Back Extension,Back,1.0,10,,,,""
2015-11-12,Back Extension,Back,5.0,10,,,,""
2015-11-12,Back Extension,Back,5.0,10,,,,""
2015-11-12,Ab Twister,Abs,10.0,5,,,,""
2015-11-12,Ab Twister,Abs,10.0,10,,,,""
2015-11-12,Ab Twister,Abs,10.0,10,,,,""
2015-11-14,Clean And Jerk Cnj,Legs,76.0,2,,,,""
2015-11-14,Clean And Jerk Cnj,Legs,76.0,3,,,,""
2015-11-14,Clean And Jerk Cnj,Legs,80.0,2,,,,""
2015-11-14,Clean And Jerk Cnj,Legs,80.0,3,,,,""
2015-11-14,Clean And Jerk Cnj,Legs,80.0,1,,,,""
2015-11-14,Clean And Jerk Cnj,Legs,80.0,1,,,,""
2015-11-14,Clean Pull,Legs,110.0,3,,,,""
2015-11-14,Clean Pull,Legs,110.0,3,,,,""
2015-11-14,Clean Pull,Legs,110.0,3,,,,""
2015-11-14,Clean Pull,Legs,110.0,3,,,,""
